customer_state,total_customers,repeat_customers,retention_rate,avg_orders_per_customer,avg_customer_value
AC,80,0,0.0,1.0,244.69
AL,397,0,0.0,1.0,237.21
AM,145,0,0.0,1.0,190.24
AP,67,0,0.0,1.0,240.92
BA,3256,0,0.0,1.0,181.55
CE,1279,0,0.0,1.0,208.32
DF,2080,0,0.0,1.0,166.41
ES,1995,0,0.0,1.0,159.23
GO,1957,0,0.0,1.0,170.78
MA,717,0,0.0,1.0,206.14
MG,11354,0,0.0,1.0,160.2
MS,701,0,0.0,1.0,191.68
MT,886,0,0.0,1.0,204.54
PA,946,0,0.0,1.0,224.13
PB,517,0,0.0,1.0,266.61
PE,1593,0,0.0,1.0,193.96
PI,476,0,0.0,1.0,220.96
PR,4923,0,0.0,1.0,158.79
RJ,12350,0,0.0,1.0,166.43
RN,474,0,0.0,1.0,212.48
RO,243,0,0.0,1.0,234.43
RR,41,0,0.0,1.0,220.48
RS,5345,0,0.0,1.0,161.17
SC,3546,0,0.0,1.0,167.83
SE,335,0,0.0,1.0,209.82
SP,40501,0,0.0,1.0,142.46
TO,274,0,0.0,1.0,219.01
